seed,guide,true_fc,est_fc,bias,r_pearson,r_spearman
67,CA2,1.0,0.9338124770648752,-0.06618752293512475,0.3520447961269088,0.33996247654784245
68,NTC_1,0.0,-0.04085173420831811,-0.04085173420831811,0.10684897451261968,0.07969924812030074
68,KO1,-2.0,-2.097824953126165,-0.0978249531261648,0.07464706972384785,0.027204502814258912
68,KO2,-1.3219280948873622,-1.5269152145855154,-0.2049871196981532,0.18013183182085946,0.2206378986866792
68,KO3,-0.029146345659516508,-0.3349143486492361,-0.30576800298971957,0.3040790830467554,0.2934333958724203
68,CA1,0.5849625007211562,0.46710858531072486,-0.11785391541043133,0.408292600489372,0.39099437148217636
68,CA2,1.0,0.6859382171161448,-0.3140617828838552,0.33221544440532524,0.35572232645403384
69,NTC_1,0.0,-0.2610765915386404,-0.2610765915386404,0.44892138348878086,0.437593984962406
69,KO1,-2.0,-2.60554852299616,-0.6055485229961599,0.5120461127824444,0.4118198874296436
69,KO2,-1.3219280948873622,-1.6400515060894216,-0.31812341120205945,0.25575396968501674,0.30037523452157605
69,KO3,-0.029146345659516508,-0.4208260994426931,-0.3916797537831766,0.41592723156102795,0.37542213883677306
69,CA1,0.5849625007211562,0.21590314097478736,-0.36905935974636883,0.30164516930590257,0.1681050656660413
69,CA2,1.0,0.6961921233661448,-0.3038078766338552,0.45599763126249426,0.4589118198874297
70,NTC_1,0.0,-0.2178536873333181,-0.2178536873333181,0.18073102772836228,0.21654135338345865
70,KO1,-2.0,-2.034114263581487,-0.03411426358148706,0.528393262639791,0.5380863039399626
70,KO2,-1.3219280948873622,-1.4578334312908376,-0.13590533640347546,0.028559304205502345,0.057223264540337715
70,KO3,-0.029146345659516508,-0.3695823173992361,-0.34043597173971957,0.6040356153304158,0.5998123827392121
70,CA1,0.5849625007211562,0.35434279627874243,-0.23061970444241375,0.4830708147376364,0.376172607879925
70,CA2,1.0,0.8039740104205881,-0.19602598957941186,0.4752932777951856,0.477110694183865
71,NTC_1,0.0,-0.024827144669743895,-0.024827144669743895,0.28607411461315235,0.25864661654135335
71,KO1,-2.0,-2.0372368317119802,-0.03723683171198022,0.17921446524063192,0.1727954971857411
71,KO2,-1.3219280948873622,-1.4214216690532888,-0.09949357416592663,0.2859162311238085,0.24596622889305816
71,KO3,-0.029146345659516508,-0.04224266819879663,-0.013096322539280121,0.26325835679433535,0.2641651031894935
71,CA1,0.5849625007211562,0.47568021006658423,-0.10928229065457196,0.4665293181514866,0.4870544090056285
71,CA2,1.0,0.9022358436115061,-0.0977641563884939,0.24215722593088884,0.23771106941838657
72,NTC_1,0.0,-0.03535857014581811,-0.03535857014581811,0.43895518250026094,0.43909774436090226
72,KO1,-2.0,-2.1270109634868826,-0.12701096348688257,0.5330328186580684,0.5350844277673547
72,KO2,-1.3219280948873622,-1.3884250145427908,-0.06649691965542859,0.20016223286976126,0.15834896810506568
72,KO3,-0.029146345659516508,-0.002119682358952879,0.02702666330056363,0.2907349998017844,0.3463414634146342
72,CA1,0.5849625007211562,0.5451119918353831,-0.03985050888577313,0.16476279089018767,0.15515947467166982
